Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
Mammals,"Some of the finest wool in the world comes from the rambouillet, a breed of this",sheep,Dan Cordas,False,False,$100,False,1,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
The Movies,"Its last line is ""After all, tomorrow is another day""",Gone with the Wind,Karen L. Jones,False,False,$100,False,12,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
U.S.A.,"The Vermeil room of this Washington, D.C. residence is noted for its golden plates & vases",the White House,Karen L. Jones,False,False,$100,False,6,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
The 1990S,In 1991 this phenomenon of nature killed fans at the U.S. Open & PGA Championships,lightning,Robert Pantel,False,False,$100,False,17,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
Around The House,"Types of these are area, scatter & throw",rugs,Karen L. Jones,False,False,$100,False,11,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
French,"If you're jewelry shopping, you may want to know that this precious metal is platine",platinum,Karen L. Jones,False,False,$100,False,25,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
Mammals,"Once widely used to pull funeral cars, Friesian horses are always this color",black,Dan Cordas,False,False,$200,False,2,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
The Movies,"This 1946 Jimmy Stewart-Donna Reed film was based on the short story ""The Greatest Gift""",It\'s A Wonderful Life,Robert Pantel,False,False,$200,False,13,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
U.S.A.,Once a month bargain hunters head for the Rose Bowl Flea Market & Swap Meet in this Calif. city,Pasadena,Karen L. Jones,False,False,$200,False,7,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
The 1990S,"He won his first full term as mayor of Chicago April 2, 1991",(Richard) Daley,Dan Cordas,False,False,$200,False,18,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
Around The House,It's what a bathroom usually has that a half bath doesn't,a bathtub,Karen L. Jones,False,False,$200,False,21,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
French,The French call this country L'Afrique du Sud,South Africa,Robert Pantel,False,False,$200,False,26,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
Mammals,This lab animal is a member of the cavy family; its scientific name is Cavia porcellus,a guinea pig,Karen L. Jones,False,False,$300,False,3,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
The Movies,"In this 1963 P.O.W. film, Steve McQueen was the ""Cooler King"" & James Garner the ""Scrounger""",The Great Escape,Robert Pantel,False,False,$300,False,14,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
U.S.A.,The Cafe du Monde in this Louisiana city has been serving cafe au lait & beignets since 1862,New Orleans,Dan Cordas,False,False,$300,False,8,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
The 1990S,"Connecticut Gov. Lowell Weicker won the 1992 ""Profile in Courage"" award named for this President",John F. Kennedy,Karen L. Jones,False,False,$300,False,19,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
Around The House,"Square, flat & with legs that fold, it's brought out on poker nights & to handle holiday overflows",card table,Karen L. Jones,False,False,$300,False,22,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
French,"If you want to know this, say ""Quelle heure est-il?""",What time is it?,Robert Pantel,False,False,$300,False,27,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
Mammals,"Some of these primates, such as macaques, can swim",monkeys,Robert Pantel,False,False,$400,False,4,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
The Movies,"Spencer Tracy died in 1967, a few weeks after completing this film, his 9th with Katharine Hepburn","Guess Who\'s Coming to Dinner""",Karen L. Jones,False,False,$400,False,15,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
U.S.A.,"Big Sky is a popular resort community in this state known as ""Big Sky Country""",Montana,Robert Pantel,False,False,$400,False,9,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
The 1990S,"On May 24, 1990 Emperor Akihito expressed regret over Japan's 1910-1945 occupation of this peninsular country",Korea,Robert Pantel,False,False,$400,False,20,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
Around The House,"A candlestick fixture on a wall, ore a similar electric one",a sconce,Robert Pantel,False,False,$400,False,23,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
French,"To find this on a train, ask, ""Ou est le wagon-restaurant?""",the dining car,Dan Cordas,False,False,$400,False,28,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
Mammals,"Of the 4 members of the camel family found in South America, only these 2 are domesticated",a llama and the alpaca,Robert Pantel,False,False,$500,False,5,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
The Movies,Gary Cooper got an Oscar nomination for his role as Lou Gehrig in this 1942 film,Pride of the Yankees,Dan Cordas,False,False,$500,False,16,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
U.S.A.,This state's Odessa College hosts an annual Shakespeare festival in a replica of the Globe Theatre,Texas,,True,False,$500,False,10,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
The 1990S,"In 1992 a Vatican court annulled her first marriage, to French playboy Philippe Junot",Caroline of Monaco,Karen L. Jones,False,False,$500,False,30,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
Around The House,"A tambour, made of rounded wood strips glued to canvas, is found on this type of desk",roll top desk,Robert Pantel,False,False,"$1,000",True,24,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
French,"""S'il vout plait, cesser de fumer"" means would you please stop doing this",smoking,Robert Pantel,False,False,$500,False,29,Show #2066,"Monday, September 6, 1993",Jeopardy! Round
World Capitals,This Finnish city is the most northerly capital in continental Europe,Helsinki,Karen L. Jones,False,False,$200,False,1,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Fish Dishes,This traditional dish of England is simply deep-fried fillets & fries,fish & chips,Dan Cordas,False,False,$200,False,4,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Geology,It's the part of a river where you'd find the delta,the mouth,Robert Pantel,False,False,$200,False,11,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Musical Instruments,Versions of this instrument have been made with valves instead of a slide,trombone,Robert Pantel,False,False,$200,False,16,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Hail To The Chief,In 1959 his New York City tomb became a National Memorial,Ulysses S. Grant,Robert Pantel,False,False,$200,False,21,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Books & Authors,"Ford Madox Ford wrote 3 novels about Catherine Howard, this king's fifth wife",Henry VIII,Dan Cordas,False,False,$200,False,26,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
World Capitals,"Its sheltered harbor lies less than 100 miles south of Key West, Florida",Havana,Dan Cordas,False,False,$400,False,2,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Fish Dishes,The Japanese typically begin a meal with this dish of sliced raw fish served with ginger or horseradish,sashimi,Karen L. Jones,False,False,$400,False,5,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Geology,"Glaciers don't have a cow, but they do have one of these when a chunk breaks off",a calf,Dan Cordas,False,False,$400,False,12,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Musical Instruments,The contra type of this instrument is the lowest-pitched member of the woodwind family,bassoon,Robert Pantel,False,False,$400,False,17,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Hail To The Chief,"Referring to his daughter, he once quipped that he could be President or control Alice, but not both",Theodore Roosevelt,Karen L. Jones,False,False,$400,False,22,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Books & Authors,"This author of ""Space"" once served on NASA's Advisory Council",Michener,Dan Cordas,False,False,$400,False,27,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
World Capitals,"Once the capital of the British East Africa protectorate, it's been Kenya's capital since 1963",Nairobi,Robert Pantel,False,False,$600,False,3,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Fish Dishes,"In addition to anchovies, a salade nicoise contains this fish",tuna,Karen L. Jones,False,False,$600,False,6,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Geology,Mafic magma is thought to originate in this solid layer beneath the earth's crust,the mantle,Dan Cordas,False,False,$600,False,13,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Musical Instruments,"In a 1961 record Johnny Cash called this stringed instrument a ""Tennessee flat-top box""",guitar,,True,False,$600,False,18,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Hail To The Chief,Some blamed his death on a Shawnee curse that was put on him at the Battle of Tippecanoe,William Henry Harrison,Karen L. Jones,False,False,$600,False,23,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Books & Authors,"He described his sensational 1931 novel ""Sanctuary"" as ""The most horrific tale I could imagine""",Faulkner,Karen L. Jones,False,False,$600,False,28,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
World Capitals,Afghanistan's parliament is housed in the Dar Ol-Aman Palace in this city,Kabul,Dan Cordas,False,False,$800,False,8,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Fish Dishes,"Conger eel, whiting & red mullet are traditional ingredients in this French stew",bouillabaisse,Dan Cordas,False,False,$800,False,7,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Geology,It's the term for the crater formed by a volcano that has exploded & collapsed,a caldera,Robert Pantel,False,False,$800,False,14,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Musical Instruments,"Powered by steam & used on riverboats, this keyboard instrument's sound can carry over 10 miles",calliope,Robert Pantel,False,False,$800,False,19,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Hail To The Chief,"While playing football for West Point, he injured his knee tackling Jim Thorpe",Eisenhower,Dan Cordas,False,False,$800,False,24,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Books & Authors,This 1887 novel by onetime ostrich farmer Rider Haggard is known by a single pronoun,She,Dan Cordas,False,False,$800,False,29,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
World Capitals,This capital & largest city of Antigua & Barbuda shares its name with Newfoundland's capital,St. John\'s,,True,False,$1000,False,9,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Fish Dishes,"A Spanish appetizer, croquetitas de camarones are fried croquettes of this shellfish",shrimp,Dan Cordas,False,False,$1000,False,10,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Geology,This region of Northwest Italy has lent its name to any large expanse of land at the foot of a mountain,Piedmont,Robert Pantel,False,False,$1000,False,15,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Musical Instruments,Sebastien Erard perfected a pedal device in the 19th century to raise the pitch of its strings by 1 or 2 half-steps,the harp,,True,False,$1000,False,20,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Hail To The Chief,"Within a 3 1/2 year period, he became Mayor of Buffalo, Governor of N.Y. & President of the U.S.",Grover Cleveland,,False,False,"$2,000",True,25,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
Books & Authors,"This James Joyce work was called ""the first attempt to articulate the wordless world of sleep""",Finnegan\'s Wake,,False,False,"$1,500",True,30,Show #2066,"Monday, September 6, 1993",Double Jeopardy! Round
July 1993,"This river flooded homes & businesses in Iowa, Wisconsin, Illinois & Missouri",Mississippi,Lt. Commander Alan Echt,False,False,$100,False,13,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
Famous Women,"She was Miss Orange County in 1978, long before she ""clawed"" her way to the top in ""Batman Returns""",Michelle Pfeiffer,Lt. Commander Alan Echt,False,False,$100,False,1,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
U.S.A.,"Though Colorado's called a mountain state, less than half of it is in this mountain range",Rockies,Lt. Commander Alan Echt,False,False,$100,False,22,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
Inventions,"For this ""bright idea"" Thomas Edison was elected to the Inventors Hall of Fame",light bulb,Lt. Commander Alan Echt,False,False,$100,False,4,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
